epoch,step,train_loss_epoch,train_loss_step,val/accuracy,val/prc,val/roc,val_loss
0,49,,0.5463078618049622,,,,
0,86,,,0.7668918967247009,0.7191365957260132,0.3987742066383362,0.6091103553771973
0,86,0.6268377900123596,,,,,
1,99,,0.49763596057891846,,,,
1,149,,0.4331008493900299,,,,
1,173,,,0.75,0.837996244430542,0.6401711106300354,0.5599531531333923
1,173,0.5151494741439819,,,,,
2,199,,0.41259562969207764,,,,
2,249,,0.6808798313140869,,,,
2,260,,,0.8243243098258972,0.8309685587882996,0.6512800455093384,0.49422821402549744
2,260,0.45902392268180847,,,,,
3,299,,0.1795150488615036,,,,
3,347,,,0.7972972989082336,0.8483524918556213,0.7032496929168701,0.4720410108566284
3,347,0.37958037853240967,,,,,
4,349,,0.3744286298751831,,,,
4,399,,0.45305922627449036,,,,
4,434,,,0.8141891956329346,0.8508856296539307,0.6837770938873291,0.48037272691726685
4,434,0.39408552646636963,,,,,
5,449,,0.374910444021225,,,,
5,499,,0.3828103542327881,,,,
5,521,,,0.8243243098258972,0.8661324977874756,0.7175509333610535,0.4624898135662079
5,521,0.35775062441825867,,,,,
6,549,,0.2858300805091858,,,,
6,599,,0.49976980686187744,,,,
6,608,,,0.8243243098258972,0.9020706415176392,0.7846516966819763,0.4354797601699829
6,608,0.3459077477455139,,,,,
7,649,,0.40754568576812744,,,,
7,695,,,0.8209459185600281,0.8724848031997681,0.7282130122184753,0.4908656179904938
7,695,0.3326255679130554,,,,,
8,699,,0.12679055333137512,,,,
8,749,,0.1963643878698349,,,,
8,782,,,0.8175675868988037,0.909379780292511,0.7985698580741882,0.4404699504375458
8,782,0.3215751051902771,,,,,
9,799,,0.23428890109062195,,,,
9,849,,0.19319775700569153,,,,
9,869,,,0.8277027010917664,0.8867144584655762,0.7593692541122437,0.5045141577720642
9,869,0.31587153673171997,,,,,
10,899,,0.2335314154624939,,,,
10,949,,0.38569027185440063,,,,
10,956,,,0.8310810923576355,0.9274423718452454,0.8348336815834045,0.43462470173835754
10,956,0.299642950296402,,,,,
11,999,,0.22187165915966034,,,,
11,1043,,,0.7939189076423645,0.932813286781311,0.8251931667327881,0.4452715814113617
11,1043,0.28979626297950745,,,,,
12,1049,,0.24677126109600067,,,,
12,1099,,0.4532260000705719,,,,
12,1130,,,0.8277027010917664,0.9440717697143555,0.8728852272033691,0.38374245166778564
12,1130,0.2724410593509674,,,,,
13,1149,,0.14040020108222961,,,,
13,1199,,0.29186010360717773,,,,
13,1217,,,0.8277027010917664,0.9312310218811035,0.8341951966285706,0.46814408898353577
13,1217,0.25058138370513916,,,,,
14,1249,,0.30732065439224243,,,,
14,1299,,0.04544515535235405,,,,
14,1304,,,0.8310810923576355,0.937068521976471,0.8693736791610718,0.4308798611164093
14,1304,0.24384155869483948,,,,,
15,1349,,0.4595244824886322,,,,
15,1391,,,0.8277027010917664,0.946273148059845,0.8801634311676025,0.388573557138443
15,1391,0.23447541892528534,,,,,
16,1399,,0.15854373574256897,,,,
16,1449,,0.4598888158798218,,,,
16,1478,,,0.8479729890823364,0.9483834505081177,0.8807380795478821,0.36963099241256714
16,1478,0.22745777666568756,,,,,
17,1499,,0.19798316061496735,,,,
17,1549,,0.08192029595375061,,,,
17,1565,,,0.8412162065505981,0.9399747848510742,0.8746728301048279,0.41208702325820923
17,1565,0.20246544480323792,,,,,
18,1599,,0.5296405553817749,,,,
18,1649,,0.18031097948551178,,,,
18,1652,,,0.8682432174682617,0.9475277066230774,0.882844865322113,0.37385931611061096
18,1652,0.19354917109012604,,,,,
19,1699,,0.03750039264559746,,,,
19,1739,,,0.8851351141929626,0.9388604760169983,0.8748005628585815,0.3755156695842743
19,1739,0.19643156230449677,,,,,
20,1749,,0.15644772350788116,,,,
20,1799,,0.24766437709331512,,,,
20,1826,,,0.8614864945411682,0.9490522742271423,0.8867393732070923,0.38064584136009216
20,1826,0.17121171951293945,,,,,
21,1849,,0.1651148647069931,,,,
21,1899,,0.11393185704946518,,,,
21,1913,,,0.8513513803482056,0.9464049339294434,0.8782480955123901,0.3999331593513489
21,1913,0.16733722388744354,,,,,
22,1949,,0.14692620933055878,,,,
22,1999,,0.06710419058799744,,,,
22,2000,,,0.8783783912658691,0.9435461163520813,0.8795250058174133,0.3943684697151184
22,2000,0.16511860489845276,,,,,
23,2049,,0.06631817668676376,,,,
23,2087,,,0.8716216087341309,0.9439337253570557,0.8839303255081177,0.4017239511013031
23,2087,0.15647457540035248,,,,,
24,2099,,0.07260137051343918,,,,
24,2149,,0.018879404291510582,,,,
24,2174,,,0.8547297120094299,0.9353422522544861,0.8717358708381653,0.5238878726959229
24,2174,0.13672424852848053,,,,,
25,2199,,0.12955068051815033,,,,
25,2249,,0.19010140001773834,,,,
25,2261,,,0.8648648858070374,0.9398667812347412,0.8716082572937012,0.457970529794693
25,2261,0.13514678180217743,,,,,
26,2299,,0.09244951605796814,,,,
26,2348,,,0.8682432174682617,0.9371172785758972,0.8738428354263306,0.4692519009113312
26,2348,0.12201705574989319,,,,,
27,2349,,0.056843601167201996,,,,
27,2399,,0.05296069383621216,,,,
27,2435,,,0.8614864945411682,0.9411428570747375,0.8760135173797607,0.5009344220161438
27,2435,0.10715701431035995,,,,,
28,2449,,0.153224378824234,,,,
28,2499,,0.0712086483836174,,,,
28,2522,,,0.8648648858070374,0.9389604330062866,0.872693657875061,0.47970885038375854
28,2522,0.10426929593086243,,,,,
29,2549,,0.1359843909740448,,,,
29,2599,,0.3179762661457062,,,,
29,2609,,,0.8547297120094299,0.934240460395813,0.8655748963356018,0.5762396454811096
29,2609,0.10834766179323196,,,,,
30,2649,,0.13748863339424133,,,,
30,2696,,,0.8614864945411682,0.9347180724143982,0.8728213310241699,0.510915994644165
30,2696,0.09311291575431824,,,,,
