epoch,step,train_loss_epoch,train_loss_step,val/accuracy,val/prc,val/roc,val_loss
0,49,,0.6312593817710876,,,,
0,86,,,0.7668918967247009,0.7537298202514648,0.4348464608192444,0.5997232794761658
0,86,0.6286436915397644,,,,,
1,99,,0.5697121024131775,,,,
1,149,,0.8177387714385986,,,,
1,173,,,0.8277027010917664,0.7991155385971069,0.5687288045883179,0.5505450963973999
1,173,0.5186472535133362,,,,,
2,199,,0.1815759837627411,,,,
2,249,,0.15727737545967102,,,,
2,260,,,0.8243243098258972,0.8397754430770874,0.6656450629234314,0.47408151626586914
2,260,0.42772048711776733,,,,,
3,299,,0.3431079685688019,,,,
3,347,,,0.8243243098258972,0.8571925759315491,0.7098256945610046,0.48955148458480835
3,347,0.3788886070251465,,,,,
4,349,,0.24512773752212524,,,,
4,399,,0.49267229437828064,,,,
4,434,,,0.8040540814399719,0.8867408633232117,0.7416841983795166,0.46325358748435974
4,434,0.36013054847717285,,,,,
5,449,,0.3018786311149597,,,,
5,499,,0.287084698677063,,,,
5,521,,,0.8141891956329346,0.8851213455200195,0.7374705076217651,0.46348240971565247
5,521,0.34758245944976807,,,,,
6,549,,0.09105234593153,,,,
6,599,,0.26509371399879456,,,,
6,608,,,0.8310810923576355,0.9119644165039062,0.7909723520278931,0.44521889090538025
6,608,0.3480550944805145,,,,,
7,649,,0.17453423142433167,,,,
7,695,,,0.8108108043670654,0.9184862375259399,0.8024643659591675,0.438521146774292
7,695,0.33446475863456726,,,,,
8,699,,0.383317232131958,,,,
8,749,,0.31719639897346497,,,,
8,782,,,0.8074324131011963,0.9211958646774292,0.8054012656211853,0.44134989380836487
8,782,0.323740690946579,,,,,
9,799,,0.3077094554901123,,,,
9,849,,0.14034025371074677,,,,
9,869,,,0.8074324131011963,0.9210082292556763,0.8155525922775269,0.433009535074234
9,869,0.309355765581131,,,,,
10,899,,0.30827391147613525,,,,
10,949,,0.1174958199262619,,,,
10,956,,,0.8243243098258972,0.9144291877746582,0.8192555904388428,0.44904279708862305
10,956,0.30587050318717957,,,,,
11,999,,0.18650321662425995,,,,
11,1043,,,0.8175675868988037,0.9124219417572021,0.8220646977424622,0.46053263545036316
11,1043,0.2917115390300751,,,,,
12,1049,,0.2643354833126068,,,,
12,1099,,0.43604129552841187,,,,
12,1130,,,0.8175675868988037,0.9292628765106201,0.8495180010795593,0.4076407551765442
12,1130,0.27648913860321045,,,,,
13,1149,,0.18249690532684326,,,,
13,1199,,0.2080731838941574,,,,
13,1217,,,0.8310810923576355,0.9333190321922302,0.8583924174308777,0.3850563168525696
13,1217,0.26505422592163086,,,,,
14,1249,,0.07865609228610992,,,,
14,1299,,0.418753981590271,,,,
14,1304,,,0.8412162065505981,0.9293789863586426,0.8467726707458496,0.46694818139076233
14,1304,0.2459765076637268,,,,,
15,1349,,0.16851402819156647,,,,
15,1391,,,0.8479729890823364,0.9361759424209595,0.8735235929489136,0.3854033052921295
15,1391,0.2315254956483841,,,,,
16,1399,,0.1373121589422226,,,,
16,1449,,0.0732082948088646,,,,
16,1478,,,0.837837815284729,0.9283267855644226,0.8644576072692871,0.3838343620300293
16,1478,0.22828103601932526,,,,,
17,1499,,0.29414963722229004,,,,
17,1549,,0.105743408203125,,,,
17,1565,,,0.837837815284729,0.9337869882583618,0.8671391010284424,0.4729430675506592
17,1565,0.2159913331270218,,,,,
18,1599,,0.24748554825782776,,,,
18,1649,,0.5674957036972046,,,,
18,1652,,,0.8445945978164673,0.9471191167831421,0.8841856718063354,0.36339783668518066
18,1652,0.21051698923110962,,,,,
19,1699,,0.06531116366386414,,,,
19,1739,,,0.8547297120094299,0.9348205924034119,0.875119686126709,0.42240339517593384
19,1739,0.20078974962234497,,,,,
20,1749,,0.3181319832801819,,,,
20,1799,,0.04267924278974533,,,,
20,1826,,,0.8547297120094299,0.9398792386054993,0.878695011138916,0.4089363217353821
20,1826,0.17808081209659576,,,,,
21,1849,,0.08241604268550873,,,,
21,1899,,0.060236766934394836,,,,
21,1913,,,0.837837815284729,0.9380738139152527,0.8751835227012634,0.4027913212776184
21,1913,0.19207239151000977,,,,,
22,1949,,0.24422219395637512,,,,
22,1999,,0.16990059614181519,,,,
22,2000,,,0.8716216087341309,0.9468451142311096,0.8842495083808899,0.3867107331752777
22,2000,0.16553182899951935,,,,,
23,2049,,0.2066991627216339,,,,
23,2087,,,0.8445945978164673,0.9412028789520264,0.8659261465072632,0.48707327246665955
23,2087,0.16399209201335907,,,,,
24,2099,,0.1375669538974762,,,,
24,2149,,0.045504845678806305,,,,
24,2174,,,0.8648648858070374,0.9397144317626953,0.8751515746116638,0.4366624057292938
24,2174,0.14252237975597382,,,,,
25,2199,,0.05603433772921562,,,,
25,2249,,0.10981731116771698,,,,
25,2261,,,0.8648648858070374,0.9376168251037598,0.863946795463562,0.5026742815971375
25,2261,0.13361255824565887,,,,,
26,2299,,0.04249993711709976,,,,
26,2348,,,0.8614864945411682,0.9389335513114929,0.8700121641159058,0.4818650186061859
26,2348,0.1404230296611786,,,,,
27,2349,,0.09796121716499329,,,,
27,2399,,0.2294732630252838,,,,
27,2435,,,0.8716216087341309,0.9411072134971619,0.8758220076560974,0.4506703019142151
27,2435,0.12396670877933502,,,,,
28,2449,,0.02865225449204445,,,,
28,2499,,0.1521184742450714,,,,
28,2522,,,0.8716216087341309,0.9407627582550049,0.8662453293800354,0.5228335857391357
28,2522,0.12182405591011047,,,,,
29,2549,,0.29156649112701416,,,,
29,2599,,0.19169212877750397,,,,
29,2609,,,0.8682432174682617,0.9430952072143555,0.8746089935302734,0.4599524438381195
29,2609,0.10151536762714386,,,,,
30,2649,,0.0980389267206192,,,,
30,2696,,,0.8682432174682617,0.9427647590637207,0.8728851079940796,0.5217177271842957
30,2696,0.09559782594442368,,,,,
31,2699,,0.01627105474472046,,,,
31,2749,,0.03139199689030647,,,,
31,2783,,,0.8581081032752991,0.9392671585083008,0.872374415397644,0.5029928088188171
31,2783,0.0875200554728508,,,,,
32,2799,,0.13156425952911377,,,,
32,2849,,0.014296676963567734,,,,
32,2870,,,0.8614864945411682,0.9366040229797363,0.8688310384750366,0.5733181238174438
32,2870,0.08137430250644684,,,,,
