epoch,step,train_loss_epoch,train_loss_step,val/accuracy,val/prc,val/roc,val_loss
0,49,,0.6976302862167358,,,,
0,86,,,0.7668918967247009,0.6803668141365051,0.33831319212913513,0.6224082112312317
0,86,0.6453294157981873,,,,,
1,99,,0.7490392923355103,,,,
1,149,,0.6506310701370239,,,,
1,173,,,0.8074324131011963,0.7856911420822144,0.5512992143630981,0.5576902627944946
1,173,0.5513365864753723,,,,,
2,199,,0.3559957444667816,,,,
2,249,,0.2182375192642212,,,,
2,260,,,0.8175675868988037,0.8360077142715454,0.6647512912750244,0.5004361867904663
2,260,0.42809993028640747,,,,,
3,299,,0.2570037245750427,,,,
3,347,,,0.8108108043670654,0.8785617351531982,0.7420034408569336,0.46115580201148987
3,347,0.39127272367477417,,,,,
4,349,,0.19736987352371216,,,,
4,399,,0.21087981760501862,,,,
4,434,,,0.8277027010917664,0.875690221786499,0.7249568700790405,0.4502304792404175
4,434,0.3813653886318207,,,,,
5,449,,0.5317500233650208,,,,
5,499,,0.20141136646270752,,,,
5,521,,,0.8277027010917664,0.8834409117698669,0.7380450963973999,0.4568772315979004
5,521,0.3521048426628113,,,,,
6,549,,0.21839292347431183,,,,
6,599,,0.12299512326717377,,,,
6,608,,,0.8209459185600281,0.9023424983024597,0.7757134437561035,0.44291961193084717
6,608,0.34025272727012634,,,,,
7,649,,0.2245408445596695,,,,
7,695,,,0.8108108043670654,0.9125004410743713,0.7879716753959656,0.4423237442970276
7,695,0.335157185792923,,,,,
8,699,,0.08772610127925873,,,,
8,749,,0.23751826584339142,,,,
8,782,,,0.8209459185600281,0.9136219024658203,0.7958245277404785,0.4452642500400543
8,782,0.3265048861503601,,,,,
9,799,,0.20078511536121368,,,,
9,849,,0.295163094997406,,,,
9,869,,,0.8141891956329346,0.9327367544174194,0.833365261554718,0.4054816961288452
9,869,0.31442397832870483,,,,,
10,899,,0.48515602946281433,,,,
10,949,,0.20580367743968964,,,,
10,956,,,0.8243243098258972,0.9166334867477417,0.8002937436103821,0.4524194896221161
10,956,0.29855671525001526,,,,,
11,999,,0.2597882151603699,,,,
11,1043,,,0.8243243098258972,0.9353481531143188,0.8472196459770203,0.39857134222984314
11,1043,0.28739863634109497,,,,,
12,1049,,0.4387493431568146,,,,
12,1099,,0.27937644720077515,,,,
12,1130,,,0.8310810923576355,0.9426426291465759,0.857945442199707,0.3958832621574402
12,1130,0.26678016781806946,,,,,
13,1149,,0.20586524903774261,,,,
13,1199,,0.3386472165584564,,,,
13,1217,,,0.8175675868988037,0.9415445923805237,0.8516248464584351,0.41010782122612
13,1217,0.24591004848480225,,,,,
14,1249,,0.46948370337486267,,,,
14,1299,,0.1004616916179657,,,,
14,1304,,,0.837837815284729,0.94392329454422,0.8599885106086731,0.4449841380119324
14,1304,0.23324476182460785,,,,,
15,1349,,0.15803363919258118,,,,
15,1391,,,0.8581081032752991,0.9463668465614319,0.8751835823059082,0.36619657278060913
15,1391,0.2282058447599411,,,,,
16,1399,,0.06848710030317307,,,,
16,1449,,0.15345309674739838,,,,
16,1478,,,0.8445945978164673,0.9464409351348877,0.8709059953689575,0.400285005569458
16,1478,0.23310917615890503,,,,,
17,1499,,0.07559259980916977,,,,
17,1549,,0.03686671704053879,,,,
17,1565,,,0.8513513803482056,0.9491680264472961,0.8739066123962402,0.40025585889816284
17,1565,0.1910753697156906,,,,,
18,1599,,0.3847235441207886,,,,
18,1649,,0.18751230835914612,,,,
18,1652,,,0.8513513803482056,0.9463357925415039,0.869437575340271,0.4283813238143921
18,1652,0.1817803531885147,,,,,
19,1699,,0.37654441595077515,,,,
19,1739,,,0.8547297120094299,0.9473188519477844,0.871225118637085,0.4692036509513855
19,1739,0.1749076098203659,,,,,
20,1749,,0.21233394742012024,,,,
20,1799,,0.04616174474358559,,,,
20,1826,,,0.8547297120094299,0.9363595843315125,0.8478579521179199,0.6057460308074951
20,1826,0.15869450569152832,,,,,
21,1849,,0.058223724365234375,,,,
21,1899,,0.024193793535232544,,,,
21,1913,,,0.8479729890823364,0.9498263001441956,0.874161958694458,0.41139477491378784
