epoch,step,train_loss_epoch,train_loss_step,val/accuracy,val/prc,val/roc,val_loss
0,49,,0.5466595888137817,,,,
0,86,,,0.7508417367935181,0.732331395149231,0.5388437509536743,0.5758714079856873
0,86,0.6422768831253052,,,,,
1,99,,0.4090343117713928,,,,
1,149,,0.7515386343002319,,,,
1,173,,,0.7272727489471436,0.8877857327461243,0.7633013725280762,0.5075796842575073
1,173,0.5633257031440735,,,,,
2,199,,0.5893175005912781,,,,
2,249,,0.46551287174224854,,,,
2,260,,,0.872053861618042,0.9129908084869385,0.8674706220626831,0.35824450850486755
2,260,0.426669180393219,,,,,
3,299,,0.4813839793205261,,,,
3,347,,,0.8855218887329102,0.9276553392410278,0.8826808929443359,0.3328767716884613
3,347,0.39063969254493713,,,,,
4,349,,0.2592045068740845,,,,
4,399,,0.25222575664520264,,,,
4,434,,,0.8888888955116272,0.9090489745140076,0.8816508054733276,0.3224547207355499
4,434,0.3594069182872772,,,,,
5,449,,0.261501282453537,,,,
5,499,,0.32141542434692383,,,,
5,521,,,0.8619528412818909,0.923462450504303,0.8721367716789246,0.3883177638053894
5,521,0.34203246235847473,,,,,
6,549,,0.24551357328891754,,,,
6,599,,0.5908057689666748,,,,
6,608,,,0.8821548819541931,0.9067984819412231,0.8824990391731262,0.3255184292793274
6,608,0.3415355682373047,,,,,
7,649,,0.6664841175079346,,,,
7,695,,,0.8956229090690613,0.9135875105857849,0.8809841871261597,0.3331420123577118
7,695,0.32238444685935974,,,,,
8,699,,0.1859932392835617,,,,
8,749,,0.2318895310163498,,,,
8,782,,,0.8821548819541931,0.9185237288475037,0.8884984254837036,0.3241894543170929
8,782,0.3142218589782715,,,,,
9,799,,0.20267780125141144,,,,
9,849,,0.1720714420080185,,,,
9,869,,,0.8350168466567993,0.9239174127578735,0.8914071321487427,0.3743973970413208
9,869,0.29290077090263367,,,,,
10,899,,0.125459223985672,,,,
10,949,,0.27343833446502686,,,,
10,956,,,0.8585858345031738,0.9138097763061523,0.8353532552719116,0.47455620765686035
10,956,0.2644636332988739,,,,,
11,999,,0.5340560078620911,,,,
11,1043,,,0.9023569226264954,0.9409945011138916,0.895224928855896,0.31716665625572205
11,1043,0.26828140020370483,,,,,
12,1049,,0.15947885811328888,,,,
12,1099,,0.552161455154419,,,,
12,1130,,,0.875420868396759,0.943553626537323,0.897830605506897,0.3277951776981354
12,1130,0.25636932253837585,,,,,
13,1149,,0.0779518112540245,,,,
13,1199,,0.4241063594818115,,,,
13,1217,,,0.9090909361839294,0.9441957473754883,0.8960126638412476,0.3090253174304962
13,1217,0.24305275082588196,,,,,
14,1249,,0.38591906428337097,,,,
14,1299,,0.1532478779554367,,,,
14,1304,,,0.9124578833580017,0.9473382234573364,0.9010422825813293,0.30748769640922546
14,1304,0.22485817968845367,,,,,
15,1349,,0.170470729470253,,,,
15,1391,,,0.8888888955116272,0.9450176954269409,0.9077687859535217,0.3232656419277191
15,1391,0.20192299783229828,,,,,
16,1399,,0.09454609453678131,,,,
16,1449,,0.12798340618610382,,,,
16,1478,,,0.8922559022903442,0.9446735978126526,0.9085565805435181,0.3138394355773926
16,1478,0.19766147434711456,,,,,
17,1499,,0.35995805263519287,,,,
17,1549,,0.07591384649276733,,,,
17,1565,,,0.8922559022903442,0.9518774151802063,0.9104350805282593,0.34620580077171326
17,1565,0.1753898561000824,,,,,
18,1599,,0.04667193815112114,,,,
18,1649,,0.05258352309465408,,,,
18,1652,,,0.9124578833580017,0.9496020674705505,0.9035269021987915,0.3422118127346039
18,1652,0.16851837933063507,,,,,
19,1699,,0.04132441058754921,,,,
19,1739,,,0.8956229090690613,0.9441817998886108,0.8902557492256165,0.3865029215812683
19,1739,0.15806664526462555,,,,,
20,1749,,0.10672418773174286,,,,
20,1799,,0.05738089606165886,,,,
20,1826,,,0.8956229090690613,0.9475014209747314,0.8924978971481323,0.415807843208313
20,1826,0.14429600536823273,,,,,
21,1849,,0.03489336743950844,,,,
21,1899,,0.1546175479888916,,,,
21,1913,,,0.8989899158477783,0.9397149085998535,0.8791055679321289,0.4469110369682312
21,1913,0.12733013927936554,,,,,
22,1949,,0.13993221521377563,,,,
22,1999,,0.058892872184515,,,,
22,2000,,,0.8956229090690613,0.9485348463058472,0.8969215154647827,0.4075402617454529
22,2000,0.11206188052892685,,,,,
23,2049,,0.02771761082112789,,,,
23,2087,,,0.8888888955116272,0.9508399367332458,0.9037691950798035,0.49709898233413696
23,2087,0.10893233120441437,,,,,
24,2099,,0.21848997473716736,,,,
24,2149,,0.021082554012537003,,,,
24,2174,,,0.9124578833580017,0.9578214883804321,0.9137074947357178,0.4096389710903168
24,2174,0.0967215746641159,,,,,
25,2199,,0.21909335255622864,,,,
25,2249,,0.20004265010356903,,,,
25,2261,,,0.9090909361839294,0.9510411024093628,0.9003757238388062,0.4581542909145355
25,2261,0.09299851208925247,,,,,
26,2299,,0.0037400606088340282,,,,
26,2348,,,0.8821548819541931,0.9503229856491089,0.8974669575691223,0.49763140082359314
26,2348,0.08203567564487457,,,,,
27,2349,,0.20465236902236938,,,,
27,2399,,0.040625154972076416,,,,
27,2435,,,0.868686854839325,0.9425099492073059,0.8830444812774658,0.5668109655380249
27,2435,0.07427028566598892,,,,,
28,2449,,0.21937434375286102,,,,
28,2499,,0.007338781375437975,,,,
28,2522,,,0.872053861618042,0.9484516978263855,0.8985274434089661,0.6151129007339478
28,2522,0.06018143147230148,,,,,
29,2549,,0.10690514743328094,,,,
29,2599,,0.009379368275403976,,,,
29,2609,,,0.8922559022903442,0.9501055479049683,0.8997393846511841,0.5228882431983948
29,2609,0.048845820128917694,,,,,
30,2649,,0.09578528255224228,,,,
30,2696,,,0.8787878751754761,0.9475111365318298,0.890316367149353,0.6103083491325378
30,2696,0.04634648561477661,,,,,
31,2699,,0.025410056114196777,,,,
31,2749,,0.03995431959629059,,,,
31,2783,,,0.8922559022903442,0.9503538012504578,0.897315502166748,0.6060561537742615
31,2783,0.04324260354042053,,,,,
32,2799,,0.016589654609560966,,,,
32,2849,,0.0037935287691652775,,,,
32,2870,,,0.8855218887329102,0.9460159540176392,0.8979820609092712,0.7236160039901733
32,2870,0.038959018886089325,,,,,
33,2899,,0.007571623660624027,,,,
33,2949,,0.0006020055152475834,,,,
33,2957,,,0.8787878751754761,0.9445853233337402,0.8903769254684448,0.6704166531562805
33,2957,0.04030204936861992,,,,,
34,2999,,0.008710317313671112,,,,
34,3044,,,0.9023569226264954,0.9499257206916809,0.9007999300956726,0.643854022026062
34,3044,0.032176826149225235,,,,,
