epoch,step,train_loss_epoch,train_loss_step,val/accuracy,val/prc,val/roc,val_loss
0,49,,0.674192488193512,,,,
0,86,,,0.7668918967247009,0.749863862991333,0.4278235137462616,0.5881353616714478
0,86,0.6149063110351562,,,,,
1,99,,0.5177996158599854,,,,
1,149,,0.38625386357307434,,,,
1,173,,,0.8040540814399719,0.8296842575073242,0.6309774518013,0.5234588384628296
1,173,0.4837566018104553,,,,,
2,199,,0.36637985706329346,,,,
2,249,,0.3376869261264801,,,,
2,260,,,0.8310810923576355,0.8544420003890991,0.6805210113525391,0.46680590510368347
2,260,0.4168892800807953,,,,,
3,299,,0.5672191381454468,,,,
3,347,,,0.7972972989082336,0.8479260206222534,0.6482155323028564,0.561184823513031
3,347,0.37590882182121277,,,,,
4,349,,0.25604248046875,,,,
4,399,,0.4024263918399811,,,,
4,434,,,0.8175675868988037,0.9219747185707092,0.8080188632011414,0.42789340019226074
4,434,0.3704903721809387,,,,,
5,449,,0.39317888021469116,,,,
5,499,,0.15444636344909668,,,,
5,521,,,0.8141891956329346,0.8879042267799377,0.7420034408569336,0.46814990043640137
5,521,0.3481745421886444,,,,,
6,549,,0.5130976438522339,,,,
6,599,,0.11181796342134476,,,,
6,608,,,0.8141891956329346,0.9072785377502441,0.7895039916038513,0.4702349603176117
6,608,0.3397774398326874,,,,,
7,649,,0.35497814416885376,,,,
7,695,,,0.8175675868988037,0.9063212871551514,0.779991090297699,0.4616335928440094
7,695,0.3285408616065979,,,,,
8,699,,0.2988981306552887,,,,
8,749,,0.3266476094722748,,,,
8,782,,,0.8040540814399719,0.9286755919456482,0.826533854007721,0.4323984682559967
8,782,0.3151693642139435,,,,,
9,799,,0.19992244243621826,,,,
9,849,,0.47578057646751404,,,,
9,869,,,0.8277027010917664,0.9192637801170349,0.7986336946487427,0.4773081839084625
9,869,0.31068307161331177,,,,,
10,899,,0.06619436293840408,,,,
10,949,,0.4460724890232086,,,,
10,956,,,0.8141891956329346,0.928839921951294,0.8463895320892334,0.39428195357322693
10,956,0.2875111699104309,,,,,
11,999,,0.40711113810539246,,,,
11,1043,,,0.8277027010917664,0.9252970218658447,0.8251293301582336,0.47813788056373596
11,1043,0.27491769194602966,,,,,
12,1049,,0.07609862834215164,,,,
12,1099,,0.12335730344057083,,,,
12,1130,,,0.8412162065505981,0.9228005409240723,0.862414538860321,0.3984074294567108
12,1130,0.25137051939964294,,,,,
13,1149,,0.10233348608016968,,,,
13,1199,,0.49164509773254395,,,,
13,1217,,,0.8277027010917664,0.9353318214416504,0.8488156795501709,0.45889636874198914
13,1217,0.25640514492988586,,,,,
14,1249,,0.2486313432455063,,,,
14,1299,,0.25089606642723083,,,,
14,1304,,,0.8344594836235046,0.9355494976043701,0.8529655933380127,0.4639314115047455
14,1304,0.23129092156887054,,,,,
15,1349,,0.24421720206737518,,,,
15,1391,,,0.8479729890823364,0.9427676200866699,0.8761411905288696,0.37147244811058044
15,1391,0.21910052001476288,,,,,
16,1399,,0.04640459269285202,,,,
16,1449,,0.15236684679985046,,,,
16,1478,,,0.8277027010917664,0.9276554584503174,0.8525825142860413,0.5019459128379822
16,1478,0.20884451270103455,,,,,
17,1499,,0.06458427011966705,,,,
17,1549,,0.3656761944293976,,,,
17,1565,,,0.8445945978164673,0.9432719945907593,0.8747366070747375,0.39611318707466125
17,1565,0.20398925244808197,,,,,
18,1599,,0.10618077218532562,,,,
18,1649,,0.18472954630851746,,,,
18,1652,,,0.8547297120094299,0.9479251503944397,0.8771628141403198,0.456607460975647
18,1652,0.18406081199645996,,,,,
19,1699,,0.21985891461372375,,,,
19,1739,,,0.837837815284729,0.9399556517601013,0.861073911190033,0.5013614296913147
19,1739,0.17056059837341309,,,,,
20,1749,,0.03537651151418686,,,,
20,1799,,0.08714434504508972,,,,
20,1826,,,0.8445945978164673,0.9413275718688965,0.8710336089134216,0.46612387895584106
20,1826,0.1667598932981491,,,,,
21,1849,,0.12132512032985687,,,,
21,1899,,0.23446926474571228,,,,
21,1913,,,0.8581081032752991,0.9370603561401367,0.8594139814376831,0.4677533209323883
21,1913,0.15004776418209076,,,,,
22,1949,,0.017724618315696716,,,,
22,1999,,0.15543708205223083,,,,
22,2000,,,0.8682432174682617,0.9422999620437622,0.8710336685180664,0.4111935496330261
22,2000,0.15336869657039642,,,,,
23,2049,,0.07293006777763367,,,,
23,2087,,,0.8547297120094299,0.9417355060577393,0.8689905405044556,0.4613278806209564
23,2087,0.13224920630455017,,,,,
24,2099,,0.1731487512588501,,,,
24,2149,,0.029547439888119698,,,,
24,2174,,,0.8682432174682617,0.9391546249389648,0.8671391010284424,0.4264889359474182
24,2174,0.12706337869167328,,,,,
25,2199,,0.019738852977752686,,,,
25,2249,,0.003235715674236417,,,,
25,2261,,,0.8547297120094299,0.9445734024047852,0.8737151026725769,0.5195172429084778
25,2261,0.10924281179904938,,,,,
26,2299,,0.39279603958129883,,,,
26,2348,,,0.8682432174682617,0.9443259239196777,0.8762050867080688,0.47857388854026794
26,2348,0.09670309722423553,,,,,
27,2349,,0.042852021753787994,,,,
27,2399,,0.033263884484767914,,,,
27,2435,,,0.8581081032752991,0.938919186592102,0.8610419631004333,0.5464076995849609
27,2435,0.08320815861225128,,,,,
28,2449,,0.040889251977205276,,,,
28,2499,,0.0400572270154953,,,,
28,2522,,,0.8547297120094299,0.9453197717666626,0.8795250058174133,0.5136728286743164
28,2522,0.07967139780521393,,,,,
29,2549,,0.2083570659160614,,,,
29,2599,,0.10759102553129196,,,,
29,2609,,,0.8817567825317383,0.9459453821182251,0.8790780901908875,0.506837010383606
29,2609,0.07948774099349976,,,,,
30,2649,,0.018635034561157227,,,,
30,2696,,,0.837837815284729,0.9362038373947144,0.8619996905326843,0.6823981404304504
30,2696,0.06988181918859482,,,,,
31,2699,,0.27607569098472595,,,,
31,2749,,0.1653146594762802,,,,
31,2783,,,0.8513513803482056,0.9390533566474915,0.8682563304901123,0.6939328908920288
31,2783,0.06174597516655922,,,,,
32,2799,,0.007064842153340578,,,,
32,2849,,0.022134754806756973,,,,
32,2870,,,0.8614864945411682,0.9414504170417786,0.8761412501335144,0.5935337543487549
32,2870,0.061910808086395264,,,,,
33,2899,,0.02409329079091549,,,,
33,2949,,0.06916117668151855,,,,
33,2957,,,0.8648648858070374,0.9415429830551147,0.8731086254119873,0.5542047619819641
33,2957,0.051612772047519684,,,,,
34,2999,,0.3352205753326416,,,,
34,3044,,,0.8243243098258972,0.9350010752677917,0.8596054315567017,0.8044345378875732
34,3044,0.060585036873817444,,,,,
35,3049,,0.003708053845912218,,,,
35,3099,,0.01493292860686779,,,,
35,3131,,,0.8682432174682617,0.9422982335090637,0.8736831545829773,0.6118254661560059
35,3131,0.055710066109895706,,,,,
36,3149,,0.02383512072265148,,,,
36,3199,,0.005530114751309156,,,,
36,3218,,,0.8513513803482056,0.9384984374046326,0.8674264550209045,0.7308331727981567
36,3218,0.042693521827459335,,,,,
37,3249,,0.018415367230772972,,,,
37,3299,,0.011232872493565083,,,,
37,3305,,,0.8479729890823364,0.9378964304924011,0.8687352538108826,0.7340205907821655
37,3305,0.037417203187942505,,,,,
38,3349,,0.0034944380167871714,,,,
38,3392,,,0.8547297120094299,0.939254879951477,0.8656068444252014,0.7816094160079956
38,3392,0.036735739558935165,,,,,
