feature,importance
fr_ketone_Topliss,0.0005392567836205875
morgan_bit_2021,0.0005362205552538978
morgan_bit_639,0.0005350489580931528
fr_ArN,0.0005316290593964433
fr_para_hydroxylation,0.0005302564619300923
morgan_bit_1009,0.0005281558325022095
morgan_bit_1687,0.0005272489075620478
morgan_bit_74,0.0005258349836475126
morgan_bit_1150,0.0005219573998307127
morgan_bit_881,0.0005185550176972696
morgan_bit_555,0.000518391469403747
morgan_bit_725,0.0005108396660590171
fr_sulfonamd,0.0005087278217332852
SlogP_VSA7,0.00050823713874261
morgan_bit_1855,0.000507300504441152
morgan_bit_1921,0.0005067587660630099
morgan_bit_1866,0.0005043176051900021
fr_ester,0.0004977132890095435
morgan_bit_130,0.000489241026721833
morgan_bit_283,0.0004878068860240413
fr_quatN,0.00048500639531209633
fr_methoxy,0.00048260018422752464
morgan_bit_836,0.0004803529173820201
morgan_bit_691,0.00047808026246091474
morgan_bit_321,0.00047801138419250607
fr_aryl_methyl,0.00047590940853816993
morgan_bit_119,0.00047476640506540776
morgan_bit_378,0.00047227844679334355
morgan_bit_1489,0.0004685909407181337
morgan_bit_1381,0.0004673826325781697
morgan_bit_1386,0.00046641650314437137
morgan_bit_165,0.00046553846737665836
morgan_bit_1114,0.0004576843755657705
morgan_bit_936,0.00045676217251206164
morgan_bit_1607,0.00045582718962493485
morgan_bit_760,0.0004555170991664913
morgan_bit_216,0.00045532939893784096
morgan_bit_806,0.00045348304445694395
morgan_bit_1970,0.0004526118348617592
morgan_bit_1647,0.0004520856679876413
morgan_bit_739,0.0004420316910160382
morgan_bit_1274,0.0004354761308936217
morgan_bit_632,0.0004354587142355442
fr_urea,0.0004352939599626705
morgan_bit_1581,0.0004317292551783056
morgan_bit_1095,0.0004313140954650508
morgan_bit_1606,0.00042787350807444195
morgan_bit_925,0.00042717740314329516
morgan_bit_231,0.0004265925936383151
morgan_bit_1853,0.0004255789323096994
morgan_bit_13,0.00042553334261638293
morgan_bit_114,0.0004254567737489611
morgan_bit_1980,0.00042541050506030796
morgan_bit_1722,0.0004228167891263308
morgan_bit_392,0.0004226013321570971
morgan_bit_294,0.00042039772671971374
morgan_bit_325,0.0004185312022002653
morgan_bit_1017,0.00041776890128840773
morgan_bit_590,0.000411820206033694
morgan_bit_1827,0.00040238282189393617
morgan_bit_1210,0.00040231602745556956
morgan_bit_322,0.00040218827188638276
morgan_bit_913,0.00040015372249618965
morgan_bit_1194,0.00039840462730731226
morgan_bit_1470,0.00039829154850292743
morgan_bit_718,0.0003970811489848071
morgan_bit_486,0.0003945286097202438
morgan_bit_679,0.0003935597711683682
morgan_bit_1163,0.0003918796512644261
morgan_bit_140,0.0003916986908904147
morgan_bit_1205,0.0003896534843752772
morgan_bit_699,0.0003847674637180381
morgan_bit_841,0.0003841550989396419
morgan_bit_606,0.0003825299711111479
morgan_bit_561,0.0003813881153978173
morgan_bit_965,0.00038043053456496956
morgan_bit_1236,0.000371167883167839
morgan_bit_1873,0.0003701976728413308
NumSpiroAtoms,0.0003688666028091049
morgan_bit_352,0.00036643286056373044
