feature,importance
morgan_bit_807,0.013266498747981604
morgan_bit_5,0.010798688977497375
morgan_bit_456,0.010403918453207912
morgan_bit_1602,0.009001437473059945
morgan_bit_1152,0.00822715224292446
morgan_bit_387,0.008155066172472528
morgan_bit_233,0.007503903378398779
morgan_bit_650,0.006619733353709062
morgan_bit_314,0.006207019650274144
morgan_bit_573,0.0059740412525805175
morgan_bit_1921,0.005947115700809895
morgan_bit_1279,0.005922007963691035
morgan_bit_1019,0.005706379834757734
morgan_bit_1,0.005455450037365173
morgan_bit_1381,0.005428650639983753
morgan_bit_1917,0.005414775734521992
morgan_bit_673,0.0054007189440550074
morgan_bit_1199,0.005253591086000075
morgan_bit_1487,0.005068809525376657
morgan_bit_1950,0.005065184827233987
morgan_bit_753,0.004889809284515367
morgan_bit_1480,0.0048633294907328975
morgan_bit_926,0.004739011884626111
morgan_bit_389,0.004470932417123274
morgan_bit_1791,0.004372453874695938
morgan_bit_1145,0.004366732379268203
morgan_bit_1928,0.0043161873457920105
morgan_bit_675,0.004297498520231108
morgan_bit_1171,0.004223493921108632
morgan_bit_1747,0.004152847776903999
morgan_bit_1149,0.0039265523072652
morgan_bit_1047,0.0038847949084031327
morgan_bit_1257,0.003856911581347859
morgan_bit_1365,0.0038485495089160982
morgan_bit_227,0.0038390391679442525
morgan_bit_1635,0.0038124880987913303
morgan_bit_1943,0.003589253020120182
morgan_bit_935,0.0035773117519827145
morgan_bit_1088,0.0035396935936992686
morgan_bit_588,0.0033582017140823023
morgan_bit_222,0.0033444876930908657
morgan_bit_1150,0.0033363758411843816
morgan_bit_1476,0.0033359826928359764
morgan_bit_1607,0.0032613917629062805
morgan_bit_725,0.003197507100021198
morgan_bit_1431,0.0031636884926492504
morgan_bit_1183,0.0030480646944863483
morgan_bit_130,0.002996510451783061
morgan_bit_1295,0.002923768527832807
morgan_bit_722,0.002922832237770855
morgan_bit_695,0.0028789731979796053
morgan_bit_656,0.002830919056717834
morgan_bit_936,0.002813762645052678
morgan_bit_1855,0.0026474749038638856
morgan_bit_1922,0.002595351835427046
morgan_bit_1754,0.0024969048323368174
morgan_bit_1057,0.0024845690507432744
morgan_bit_1750,0.0024838736976749657
morgan_bit_1323,0.002472017851417378
morgan_bit_998,0.0024705004152805
morgan_bit_294,0.002432124329225576
morgan_bit_1509,0.0024017675444042543
morgan_bit_698,0.002374105214673619
morgan_bit_875,0.0023709146115352005
morgan_bit_252,0.0023620590955535157
morgan_bit_310,0.002319091927927584
morgan_bit_1154,0.002290369695886464
morgan_bit_1300,0.0022275538764576198
morgan_bit_1778,0.0022254412613762903
morgan_bit_1452,0.0022129316140137704
morgan_bit_1236,0.0022050301523331662
morgan_bit_1060,0.0021923756667377317
morgan_bit_745,0.0021906297377152317
morgan_bit_1737,0.0021825707588255987
morgan_bit_697,0.002173996689608478
morgan_bit_872,0.0021454685986568417
morgan_bit_1274,0.002129253093388984
morgan_bit_87,0.0021255081328047823
morgan_bit_378,0.002117938423274419
morgan_bit_1508,0.0020859179879231106
morgan_bit_1885,0.0019939158577100373
morgan_bit_841,0.0019924030578658057
morgan_bit_1683,0.001983048908653381
morgan_bit_18,0.0019736219052485992
morgan_bit_881,0.00195755914835271
morgan_bit_80,0.0019436406808658348
morgan_bit_165,0.0019400843324847994
morgan_bit_283,0.001937683330960866
morgan_bit_1114,0.0019257422894437405
morgan_bit_1325,0.0018968246779950573
morgan_bit_1873,0.0018859263388098712
morgan_bit_1309,0.0018678029224280367
morgan_bit_392,0.0018600838767037651
morgan_bit_362,0.0018541613030253002
morgan_bit_967,0.0018316157797225994
morgan_bit_1362,0.0018157425714775634
morgan_bit_1630,0.0017710968138320746
morgan_bit_1647,0.0017609589323622033
morgan_bit_1463,0.0017575961406931081
morgan_bit_1604,0.0017555371629300897
morgan_bit_216,0.0016791091696219062
morgan_bit_1937,0.001662010770205116
morgan_bit_1162,0.0016561689924860304
morgan_bit_1482,0.0016520264587814555
morgan_bit_116,0.0016512256514634067
morgan_bit_1441,0.0016486024018702021
morgan_bit_1292,0.0016384844196425815
morgan_bit_202,0.0016377445347585497
morgan_bit_350,0.0016043646020969635
morgan_bit_1832,0.001597316612436987
morgan_bit_525,0.0015642166241915194
morgan_bit_1475,0.0015616600668184296
morgan_bit_687,0.0015436344681379534
morgan_bit_1434,0.0015419726352294
morgan_bit_632,0.0015244254308721243
morgan_bit_1897,0.001514584915858879
morgan_bit_464,0.001496399106826048
morgan_bit_470,0.001494695542245303
morgan_bit_1227,0.0014937993526412368
morgan_bit_1738,0.0014891826717805207
morgan_bit_368,0.0014668393022697083
morgan_bit_1582,0.0014497440347917049
morgan_bit_140,0.0014349466891199947
morgan_bit_715,0.0014293149859558024
morgan_bit_1911,0.0014288536351825662
morgan_bit_859,0.0014252045469593433
morgan_bit_529,0.001422850610065085
morgan_bit_1205,0.0013874645298377676
morgan_bit_384,0.0013739849447217413
morgan_bit_2004,0.0013714289766133566
morgan_bit_1687,0.0013676353227873598
morgan_bit_408,0.0013567096160607252
morgan_bit_1722,0.0013566368316858285
morgan_bit_1457,0.0013561913910334357
morgan_bit_1977,0.0013547092642202743
morgan_bit_1017,0.0013542895633635226
morgan_bit_1998,0.0013523213909559407
morgan_bit_114,0.0013396713855188917
morgan_bit_610,0.0013378877943674595
morgan_bit_561,0.0013374898189007713
morgan_bit_1373,0.0013304844342402749
morgan_bit_589,0.0013161911776875153
morgan_bit_121,0.0013096399816199871
morgan_bit_1110,0.0012912450199423005
morgan_bit_1028,0.0012821267081595746
morgan_bit_965,0.0012811469279092724
morgan_bit_147,0.001278513336968544
morgan_bit_119,0.001271599082494944
morgan_bit_1991,0.0012561963516542207
morgan_bit_882,0.0012425026223939221
morgan_bit_90,0.0012421541058255739
morgan_bit_242,0.001238334648285955
morgan_bit_1997,0.0012300124763216858
morgan_bit_1296,0.0012173167976105063
morgan_bit_689,0.0012142279803896712
morgan_bit_1063,0.0012134161570400066
morgan_bit_1456,0.0012128990165508437
morgan_bit_1581,0.0012123522315209692
morgan_bit_1380,0.00121181327134636
morgan_bit_321,0.001200200163894986
morgan_bit_831,0.0011973503828957152
morgan_bit_1827,0.0011849976006414018
morgan_bit_315,0.0011821636945613054
morgan_bit_739,0.0011820088131744386
morgan_bit_1866,0.0011813186695840694
morgan_bit_1163,0.0011799755005521208
morgan_bit_139,0.0011758795127480024
morgan_bit_713,0.0011741325884985893
morgan_bit_590,0.0011729197840981403
morgan_bit_836,0.0011686132125732092
morgan_bit_869,0.001164698978469779
morgan_bit_1341,0.001161268013322608
morgan_bit_606,0.0011600558869291726
morgan_bit_941,0.001159910246158827
morgan_bit_1697,0.0011528677926777333
morgan_bit_1436,0.0011496665298417444
morgan_bit_834,0.001148601067798605
morgan_bit_1788,0.0011484701483925174
morgan_bit_622,0.0011472147068236674
morgan_bit_1612,0.001146404830282849
morgan_bit_1651,0.0011435347219534153
morgan_bit_352,0.001141010996906683
morgan_bit_1095,0.001136249285257991
morgan_bit_1039,0.0011361266270240229
morgan_bit_824,0.0011318242223171185
morgan_bit_981,0.0011301240645994123
morgan_bit_1200,0.001128756216069063
morgan_bit_1099,0.0011202893825923742
morgan_bit_331,0.001117341267860954
morgan_bit_115,0.0011130027056051087
morgan_bit_519,0.0011118877773632848
morgan_bit_794,0.0011112365670159514
morgan_bit_684,0.0011103578603627465
morgan_bit_639,0.001106008937204455
morgan_bit_988,0.0010957070785619445
morgan_bit_453,0.0010903247709727229
morgan_bit_469,0.0010897436910029064
morgan_bit_1597,0.0010876163446314241
morgan_bit_1853,0.0010865115151196983
morgan_bit_84,0.0010710916093365074
morgan_bit_833,0.001069894861989306
morgan_bit_366,0.0010691005261761995
morgan_bit_1428,0.0010684124604139812
morgan_bit_335,0.0010681057534857057
morgan_bit_397,0.0010663376200731197
morgan_bit_1275,0.0010649035790067788
morgan_bit_511,0.0010638987789686818
morgan_bit_1670,0.0010634234204979984
morgan_bit_1357,0.0010616355409664394
morgan_bit_486,0.0010594242761737531
morgan_bit_960,0.0010533192444203206
morgan_bit_1385,0.001051246966250206
