model,AUROC,AUPRC,Accuracy,F1,Precision,Recall,Sensitivity,Specificity,TP,FP,TN,FN
RF (Combined Morgan+RDKit),[0.9031073446327683],[0.9725888948107029],[0.875],[0.924643584521385],[0.8901960784313725],[0.961864406779661],[0.961864406779661],[0.5333333333333333],[227],[28],[32],[9]
GNN (Chemprop),[0.8668785310734464],[0.9602325955267192],[0.8581081081081081],[0.9113924050632911],[0.907563025210084],[0.9152542372881356],[0.9152542372881356],[0.6333333333333333],[216],[22],[38],[20]
