feature,importance
TPSA,0.038004633345912565
NumHDonors,0.030878119692366472
VSA_EState3,0.0303832503494379
NOCount,0.025551814002902688
PEOE_VSA10,0.023213431497907524
EState_VSA10,0.022771112928754562
qed,0.02276896266138777
NumHeteroatoms,0.021914582645672528
PEOE_VSA1,0.02093663450796702
SMR_VSA1,0.019159954651091965
NHOHCount,0.018797220705553924
MinPartialCharge,0.01753284677800595
MaxAbsPartialCharge,0.016878135669526034
VSA_EState5,0.016284312401318328
MinEStateIndex,0.013881077142163821
EState_VSA1,0.012624932103182258
BCUT2D_LOGPHI,0.01210164807614784
MolLogP,0.011902083569072682
BCUT2D_CHGHI,0.011813175331490653
fr_COO2,0.011456228930035455
SlogP_VSA2,0.010871398865349815
BCUT2D_MRLOW,0.01073177253699985
BCUT2D_CHGLO,0.01021880716313496
NumHAcceptors,0.009580396991208025
fr_COO,0.00949426044761745
VSA_EState2,0.009304013329713394
SPS,0.008676664727515696
PEOE_VSA9,0.008387866619679257
BCUT2D_LOGPLOW,0.008230804538367591
BCUT2D_MWLOW,0.0081738872009669
MinAbsPartialCharge,0.008104846360559156
Kappa3,0.007621237758309793
HeavyAtomMolWt,0.007248177330982787
BCUT2D_MWHI,0.007172299263244162
PEOE_VSA7,0.0071183399799490815
VSA_EState7,0.007065208220127979
MaxEStateIndex,0.00697826119508142
VSA_EState4,0.006911501876408179
Phi,0.006893926985192059
SMR_VSA3,0.006823450366201234
MaxPartialCharge,0.006773415914095193
MaxAbsEStateIndex,0.006585382431948241
BertzCT,0.006486103041126809
SlogP_VSA3,0.006446731664029984
BalabanJ,0.00641569894523455
BCUT2D_MRHI,0.006343453779780783
Chi4v,0.006210373514431242
Chi3v,0.006196017336262282
NumAtomStereoCenters,0.006033169682082583
VSA_EState8,0.005929992948502679
Kappa2,0.005915905568787491
Kappa1,0.005841259832003407
MinAbsEStateIndex,0.0058247018034361265
VSA_EState6,0.005797262780501004
Chi0,0.005666089629811634
MolMR,0.005592393076964482
Chi4n,0.005562293078213822
HallKierAlpha,0.005495765666368934
SlogP_VSA1,0.005479608847266029
Chi2v,0.0054156484184911
SMR_VSA10,0.005309265791420429
PEOE_VSA8,0.0052236950352652
MolWt,0.0052072153923648805
FpDensityMorgan3,0.005196684688866275
SlogP_VSA5,0.005189856747476047
EState_VSA8,0.005170904868917504
EState_VSA2,0.005151613390621696
FractionCSP3,0.005149311418076023
VSA_EState1,0.005148199481751822
ExactMolWt,0.005140866083810696
EState_VSA3,0.00504372365371461
fr_Al_COO,0.005034655247516124
fr_lactam,0.004991341189267045
AvgIpc,0.00497153284326
Chi3n,0.004958770088589381
SMR_VSA7,0.004929470423380545
Chi0v,0.004845646573624523
Chi1,0.004737674194567844
Chi1v,0.004735651944384996
FpDensityMorgan2,0.004620655429553348
PEOE_VSA6,0.004602200211441776
Chi2n,0.004559951808935442
SMR_VSA6,0.004424438882010442
SMR_VSA5,0.004418481193402079
EState_VSA4,0.004388456958933451
NumValenceElectrons,0.004221358841230817
Chi1n,0.004203345912320655
SlogP_VSA6,0.0041718278299131715
Chi0n,0.004122841644262049
PEOE_VSA3,0.004119215792111706
FpDensityMorgan1,0.004112510858291828
LabuteASA,0.004101703907880434
SlogP_VSA10,0.004095838979795672
EState_VSA9,0.0040474370875003855
EState_VSA5,0.003921717407031366
NumRotatableBonds,0.00389926394638287
VSA_EState9,0.003888437669059912
NumAliphaticRings,0.003782985451946079
HeavyAtomCount,0.0037821704237565867
EState_VSA7,0.003654883639814154
NumAliphaticCarbocycles,0.003483335792633164
NumUnspecifiedAtomStereoCenters,0.003467128493550817
EState_VSA6,0.0034477499822458966
PEOE_VSA2,0.0033684606566779097
NumSaturatedCarbocycles,0.0033039596335417607
PEOE_VSA11,0.003285626953669395
SlogP_VSA4,0.0031999451699665704
SMR_VSA4,0.003171113672372544
PEOE_VSA14,0.0031559760677407744
NumSaturatedHeterocycles,0.0031156719299125996
fr_Al_OH_noTert,0.003028960541370819
NumAliphaticHeterocycles,0.003006155372121565
fr_bicyclic,0.0029197626460407385
PEOE_VSA12,0.0028999149590046096
NumHeterocycles,0.002869633756891646
SMR_VSA9,0.0028330314628078565
VSA_EState10,0.0026493760900482143
fr_Al_OH,0.002620407278133977
NumAmideBonds,0.002492819914053202
fr_C_O_noCOO,0.0023510732209229817
fr_amide,0.0023502042336265142
fr_C_O,0.0023120931802132288
fr_ether,0.002257574182334743
fr_sulfide,0.002181448329339938
fr_alkyl_halide,0.0020945392680864344
fr_NH0,0.0020805023655436268
PEOE_VSA5,0.002056635724442041
fr_NH1,0.0019342725905607085
RingCount,0.0018743306025021925
fr_Ar_OH,0.0018205260473379097
fr_halogen,0.00177908960591852
SlogP_VSA8,0.0017527458991271983
SlogP_VSA12,0.00169387694464187
fr_Ar_N,0.0016316663694079057
fr_piperdine,0.001604608689332687
NumSaturatedRings,0.0016028903391378869
PEOE_VSA13,0.0015937258313372784
NumAromaticRings,0.0014526858038043857
SlogP_VSA11,0.0014031593220546383
