feature_set,model,AUROC_mean,AUROC_std,AUPRC_mean,Acc_mean,F1_mean,Sens_mean,Spec_mean
combined,logreg,0.8539087485697229,0.026228460772062305,0.9355876035710058,0.8192263218650024,0.8785766796487658,0.8785831644566976,0.6315068654043896
combined,rf,0.9211118506058729,0.02391012708025985,0.9671421723149424,0.8748605058650035,0.9187473695478665,0.9432290575354271,0.6624119774492075
descriptors,logreg,0.8932245541664173,0.028628733107781083,0.9444816594291725,0.853153756182242,0.8995953430206882,0.8817382749938536,0.7605609332340532
descriptors,rf,0.9188822916616399,0.021267328786276973,0.9656772588101818,0.8643838584393307,0.9107766341316532,0.9234811976578055,0.6797666693259583
descriptors,svm,0.918636360366729,0.021670919336455305,0.9664532877740317,0.8737486580215215,0.9168964033667015,0.9330246895896103,0.6898249742935149
morgan,logreg,0.8314234045266261,0.024619893195958014,0.9241125444560275,0.8082353254167348,0.8712705950170241,0.8710319868471693,0.6121228459738326
morgan,rf,0.901288175084572,0.02554903775462033,0.9563297241396171,0.867288177505569,0.9153163913431792,0.9544412760626197,0.597728455306173
morgan,svm,0.8754836423674381,0.03250791285416894,0.9441781527164539,0.8537916456732049,0.9065142886377865,0.9450630971862914,0.5727735746197213
