AUROC,AUPRC,Accuracy,F1,Precision,Recall,Sensitivity,Specificity,TP,FP,TN,FN,model,best_params,cv_auc_mean,feature_set,fold,split
0.7907485875706215,0.9182067670254505,0.8108108108108109,0.8823529411764706,0.875,0.8898305084745762,0.8898305084745762,0.5,210,30,30,26,logreg,{'C': 10.0},0.8335848082476757,morgan,0,scaffold
0.8566427546628407,0.9301866493834277,0.7724137931034483,0.835,0.8564102564102564,0.8146341463414634,0.8146341463414634,0.6705882352941176,167,28,57,38,logreg,{'C': 10.0},0.8002362436228715,morgan,1,scaffold
0.8424146649810367,0.9297468229118204,0.8378378378378378,0.8928571428571429,0.9009009009009008,0.8849557522123894,0.8849557522123894,0.6857142857142857,200,22,48,26,logreg,{'C': 10.0},0.8176264863048592,morgan,2,scaffold
0.8349454365079365,0.924062810527728,0.8221343873517787,0.8825065274151436,0.8711340206185567,0.8941798941798942,0.8941798941798942,0.609375,169,25,39,20,logreg,{'C': 10.0},0.8331315024279716,morgan,3,scaffold
0.8323655789106955,0.9183596724317108,0.797979797979798,0.8636363636363636,0.8558558558558559,0.8715596330275229,0.8715596330275229,0.5949367088607594,190,32,47,28,logreg,{'C': 10.0},0.8170915392746876,morgan,4,scaffold
0.8814971751412429,0.9642721441910774,0.8648648648648649,0.9190283400809716,0.8798449612403101,0.961864406779661,0.961864406779661,0.4833333333333333,227,31,29,9,rf,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 300}",0.8583101225651465,morgan,0,scaffold
0.9298995695839312,0.9578001035079128,0.9,0.9314420803782506,0.9036697247706422,0.9609756097560976,0.9609756097560976,0.7529411764705882,197,21,64,8,rf,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 300}",0.8459642117022609,morgan,1,scaffold
0.9285082174462704,0.965152105027472,0.8885135135135135,0.9287257019438444,0.9071729957805909,0.9513274336283186,0.9513274336283186,0.6857142857142857,215,22,48,11,rf,"{'max_depth': 30, 'min_samples_leaf': 1, 'n_estimators': 300}",0.8473316857975915,morgan,2,scaffold
0.8855406746031746,0.9473224090582516,0.8379446640316206,0.8982630272952854,0.8457943925233645,0.9576719576719576,0.9576719576719576,0.484375,181,33,31,8,rf,"{'max_depth': 30, 'min_samples_leaf': 1, 'n_estimators': 300}",0.8751172872665771,morgan,3,scaffold
0.8809952386482407,0.9471018589133718,0.8451178451178452,0.8991228070175439,0.8613445378151261,0.9403669724770642,0.9403669724770642,0.5822784810126582,205,33,46,13,rf,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 300}",0.8461519480610612,morgan,4,scaffold
0.8360875706214689,0.9437509404686416,0.8513513513513513,0.9109311740890688,0.872093023255814,0.9533898305084746,0.9533898305084746,0.45,225,33,27,11,svm,"{'C': 1.0, 'gamma': 'scale'}",0.8573816374544357,morgan,0,scaffold
0.9186800573888092,0.955494890041413,0.8758620689655172,0.9154929577464788,0.8823529411764706,0.951219512195122,0.951219512195122,0.6941176470588235,195,26,59,10,svm,"{'C': 1.0, 'gamma': 'scale'}",0.8339925103248748,morgan,1,scaffold
0.895227560050569,0.955109638791213,0.8547297297297297,0.9067245119305856,0.8893617021276595,0.9247787610619468,0.9247787610619468,0.6285714285714286,209,26,44,17,svm,"{'C': 1.0, 'gamma': 'scale'}",0.8396785787836416,morgan,2,scaffold
0.855282738095238,0.9335584182558028,0.841897233201581,0.898989898989899,0.8599033816425121,0.9417989417989416,0.9417989417989416,0.546875,178,29,35,11,svm,"{'C': 1.0, 'gamma': 'scale'}",0.856505107881623,morgan,3,scaffold
0.8721402856811057,0.9329768760251989,0.8451178451178452,0.9004329004329005,0.8524590163934426,0.9541284403669724,0.9541284403669724,0.5443037974683544,208,36,43,10,svm,"{'C': 1.0, 'gamma': 'scale'}",0.841473404311182,morgan,4,scaffold
0.8984463276836158,0.9551817010119718,0.875,0.9217758985200846,0.919831223628692,0.923728813559322,0.923728813559322,0.6833333333333333,218,19,41,18,logreg,{'C': 0.1},0.8225071523481842,descriptors,0,scaffold
0.9023816355810618,0.9455829564905004,0.8551724137931035,0.8939393939393939,0.9267015706806284,0.8634146341463415,0.8634146341463415,0.8352941176470589,177,14,71,28,logreg,{'C': 0.1},0.8089875181283451,descriptors,1,scaffold
0.9285714285714286,0.9672281534665922,0.8547297297297297,0.9016018306636157,0.933649289099526,0.8716814159292036,0.8716814159292036,0.8,197,14,56,29,logreg,{'C': 0.1},0.8380995675218678,descriptors,2,scaffold
0.88682208994709,0.9405836846858662,0.8458498023715415,0.894878706199461,0.912087912087912,0.8783068783068783,0.8783068783068783,0.75,166,16,48,23,logreg,{'C': 0.1},0.8264567345799781,descriptors,3,scaffold
0.8499012890488908,0.913831801490932,0.835016835016835,0.8857808857808858,0.9004739336492891,0.8715596330275229,0.8715596330275229,0.7341772151898734,190,21,58,28,logreg,{'C': 0.1},0.8141358972835416,descriptors,4,scaffold
